operation,family,group,precision_variant,patch_size,num_platform_pairs,observations,exact_equal_count,allclose_count,divergent_count,same_shape_count,mean_fraction_unequal,median_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,mean_num_unequal,max_num_unequal,total_num_unequal,total_num_elements,exact_equal_rate,allclose_rate,divergent_rate,same_shape_rate,global_unequal_element_rate
norm_a,global_reduction,global_reduction_cumulative,fp32,,18,18,0,0,18,18,1.0,1.0,1.0,0.01055908203125,0.01055908203125,1.0563982638847238e-05,1.0564038437711834e-05,1.0,1,18,18,0.0,0.0,1.0,1.0,1.0
norm_b,global_reduction,global_reduction_cumulative,fp32,,18,18,0,0,18,18,1.0,1.0,1.0,0.01055908203125,0.01055908203125,1.0555406258203893e-05,1.055546196650453e-05,1.0,1,18,18,0.0,0.0,1.0,1.0,1.0
sum_b,global_reduction,global_reduction_cumulative,fp32,,24,24,0,0,24,24,1.0,1.0,1.0,0.00016276041666666666,0.00030517578125,3.926015164426881e-06,7.361309253018505e-06,1.0,1,24,24,0.0,0.0,1.0,1.0,1.0
sum_a,global_reduction,global_reduction_cumulative,fp32,,24,24,0,0,24,24,1.0,1.0,1.0,0.000110626220703125,0.0002288818359375,1.5851361649894878e-06,3.279597492813309e-06,1.0,1,24,24,0.0,0.0,1.0,1.0,1.0
var_b,global_reduction,global_reduction_cumulative,fp32,,18,18,0,0,18,18,1.0,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.1912505742572342e-07,1.1912506452111308e-07,1.0,1,18,18,0.0,0.0,1.0,1.0,1.0
mean_b,global_reduction,global_reduction_cumulative,fp32,,24,24,0,0,24,24,1.0,1.0,1.0,1.634058814185361e-10,3.055902197957039e-10,3.941584706959012e-06,7.371306207745523e-06,1.0,1,24,24,0.0,0.0,1.0,1.0,1.0
mean_a,global_reduction,global_reduction_cumulative,fp32,,24,24,0,0,24,24,1.0,1.0,1.0,1.115646834174792e-10,2.3283064365386963e-10,1.5985831609396068e-06,3.336179163663671e-06,1.0,1,24,24,0.0,0.0,1.0,1.0,1.0
sum_a_fp64,global_reduction,global_reduction_cumulative,fp64,,16,16,0,0,16,16,1.0,1.0,1.0,5.684341886080802e-14,5.684341886080802e-14,8.144963883826221e-16,8.144963883826224e-16,1.0,1,16,16,0.0,0.0,1.0,1.0,1.0
sum_b_fp64,global_reduction,global_reduction_cumulative,fp64,,10,10,0,0,10,10,1.0,1.0,1.0,5.684341886080802e-14,5.684341886080802e-14,1.3711433818040448e-15,1.3711433818040458e-15,1.0,1,10,10,0.0,0.0,1.0,1.0,1.0
cumsum_a,global_cumulative,global_reduction_cumulative,fp32,,18,18,0,0,18,18,0.9398750000000001,0.939875,0.939875,0.0003662109375,0.0003662109375,0.09902646983780244,0.10391762898317834,939875.0,939875,16917750,18000000,0.0,0.0,1.0,1.0,0.939875
cumsum_b,global_cumulative,global_reduction_cumulative,fp32,,18,18,0,0,18,18,0.81471,0.81471,0.81471,0.000732421875,0.000732421875,0.08945652752564802,0.09344978961307211,814710.0,814710,14664780,18000000,0.0,0.0,1.0,1.0,0.81471
patch_mean_d_25,patch_reduction,patch_based,fp32,25.0,18,18,0,0,18,18,0.720425,0.720425,0.720425,1.7881393432617188e-07,1.7881393432617188e-07,0.052209394324536404,0.05357137725365427,28817.0,28817,518706,720000,0.0,0.0,1.0,1.0,0.720425
patch_mean_mul_ab_25,patch_reduction,patch_based,fp32,25.0,18,18,0,0,18,18,0.718075,0.718075,0.718075,1.7881393432617188e-07,1.7881393432617188e-07,0.0015044160464019226,0.0015055476795819615,28723.0,28723,517014,720000,0.0,0.0,1.0,1.0,0.718075
patch_mean_a_25,patch_reduction,patch_based,fp32,25.0,18,18,0,0,18,18,0.717975,0.717975,0.717975,1.7881393432617188e-07,1.7881393432617188e-07,0.0025094118369357672,0.0025125604058627007,28719.0,28719,516942,720000,0.0,0.0,1.0,1.0,0.717975
