patch_size,family,operation,precision_variant,observations,exact_equal_count,divergent_count,mean_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,total_num_unequal,total_num_elements,exact_equal_rate,divergent_rate,global_unequal_element_rate
9.0,patch_cumulative,patch_cumsum_a_9,fp32,18,0,18,0.3142273142273142,0.3142273142273142,9.5367431640625e-07,9.5367431640625e-07,0.04818202441841281,0.049342105263157895,5656086,17999982,0.0,1.0,0.3142273142273142
9.0,patch_cumulative,patch_cumsum_b_9,fp32,18,0,18,0.3146503146503147,0.3146503146503147,1.9073486328125e-06,1.9073486328125e-06,0.03129909629062753,0.03178879310344827,5663700,17999982,0.0,1.0,0.3146503146503147
9.0,patch_cumulative,patch_cumsum_c_9,fp32,18,0,18,0.31354531354531356,0.31354531354531356,1.9073486328125e-06,1.9073486328125e-06,0.01857745398773006,0.01875,5643810,17999982,0.0,1.0,0.31354531354531356
9.0,patch_cumulative,patch_cumsum_d_9,fp32,18,0,18,0.3143633143633144,0.3143633143633144,9.5367431640625e-07,9.5367431640625e-07,0.012579113924050634,0.012658227848101266,5658534,17999982,0.0,1.0,0.3143633143633144
9.0,patch_cumulative,patch_cumsum_mul_ab_9,fp32,18,0,18,0.31114631114631114,0.31114631114631114,1.9073486328125e-06,1.9073486328125e-06,0.018298505452009634,0.018465909090909092,5600628,17999982,0.0,1.0,0.31114631114631114
9.0,patch_cumulative,patch_cumsum_mul_cd_9,fp32,18,0,18,0.31158731158731157,0.31158731158731157,1.430511474609375e-06,1.430511474609375e-06,0.03304586563307494,0.03359173126614987,5608566,17999982,0.0,1.0,0.31158731158731157
9.0,patch_reduction,patch_mean_a_9,fp32,18,0,18,0.5516015516015516,0.5516015516015516,2.384185791015625e-07,2.384185791015625e-07,0.0009789826306286123,0.0009794618340093306,1103202,1999998,0.0,1.0,0.5516015516015516
9.0,patch_reduction,patch_mean_b_9,fp32,18,0,18,0.5489105489105489,0.5489105489105489,2.384185791015625e-07,2.384185791015625e-07,0.0008677055900841172,0.0008680820465087891,1097820,1999998,0.0,1.0,0.5489105489105489
9.0,patch_reduction,patch_mean_c_9,fp32,18,0,18,0.551952551952552,0.551952551952552,2.384185791015625e-07,2.384185791015625e-07,0.015190691565183594,0.015306063464960235,1103904,1999998,0.0,1.0,0.551952551952552
9.0,patch_reduction,patch_mean_d_9,fp32,18,0,18,0.5508275508275509,0.5508275508275509,2.384185791015625e-07,2.384185791015625e-07,0.00459770802893206,0.004608277432635565,1101654,1999998,0.0,1.0,0.5508275508275509
