family,group,precision_variant,num_platform_pairs,observations,unique_operations,exact_equal_count,allclose_count,divergent_count,same_shape_count,mean_fraction_unequal,median_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,mean_num_unequal,max_num_unequal,total_num_unequal,total_num_elements,exact_equal_rate,allclose_rate,divergent_rate,same_shape_rate,global_unequal_element_rate
patch_softmax,patch_based,fp32,30,360,12,96,96,264,360,0.32953470904183124,0.44321094321094323,0.5759285759285759,1.2483861711290148e-07,2.980232238769531e-07,3.100758409864918e-07,4.7497561297087155e-07,329534.5388888889,575928,118632434,359999820,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.3295347036562407
global_cumulative,global_reduction_cumulative,fp64,30,60,2,22,22,38,60,0.03963093333333333,0.028672,0.114688,3.600083194517841e-14,5.684341886080802e-14,1.0912175368135329e-11,3.5673040780232486e-11,39630.933333333334,114688,2377856,60000000,0.36666666666666664,0.36666666666666664,0.6333333333333333,1.0,0.03963093333333333
transcendental_nonlinear,transcendental_nonlinear,fp32,30,1320,44,496,496,824,1320,0.11159006212121211,0.0744035,0.478442,2.3868499380169494e-06,6.103515625e-05,9.693372499524905e-08,2.5951795059712484e-07,111590.06212121212,478442,147298882,1320000000,0.37575757575757573,0.37575757575757573,0.6242424242424243,1.0,0.11159006212121213
global_cumulative,global_reduction_cumulative,fp32,30,60,2,24,24,36,60,0.5263755,0.81471,0.939875,0.00032958984375,0.000732421875,0.05654489920903514,0.10391762898317834,526375.5,939875,31582530,60000000,0.4,0.4,0.6,1.0,0.5263755
patch_cumulative,patch_based,fp32,30,360,12,144,144,216,360,0.236916693975994,0.31256631256631257,0.47899,1.227855682373047e-06,3.814697265625e-06,0.038499297130175796,0.29292929292929293,236916.6,478990,85289976,359999820,0.4,0.4,0.6,1.0,0.23691671845835924
mixed_fused,mixed_fused,fp32,30,120,4,54,54,66,120,0.06062643333333333,1.5e-06,0.234253,3.6557515462239586e-07,9.5367431640625e-07,0.001439132439332736,0.004400489443824405,60626.433333333334,234253,7275172,120000000,0.45,0.45,0.55,1.0,0.060626433333333334
patch_reduction,patch_based,fp32,30,2880,96,1584,1584,1296,2880,0.21327134216290464,0.0,0.720425,7.934868335723877e-07,7.62939453125e-06,0.0022554568488616505,0.09375,15529.09375,61328,44723790,217599840,0.55,0.55,0.45,1.0,0.20553227428843698
global_reduction,global_reduction_cumulative,fp64,30,60,2,34,34,26,60,0.43333333333333335,0.0,1.0,2.4632148173016807e-14,5.684341886080802e-14,4.457229338693733e-16,1.3711433818040458e-15,0.43333333333333335,1,26,60,0.5666666666666667,0.5666666666666667,0.43333333333333335,1.0,0.43333333333333335
global_reduction,global_reduction_cumulative,fp32,30,420,14,270,270,150,420,0.35714285714285715,0.0,1.0,0.0009206913923532869,0.01055908203125,1.5417259807527216e-06,1.0564038437711834e-05,0.35714285714285715,1,150,420,0.6428571428571429,0.6428571428571429,0.35714285714285715,1.0,0.35714285714285715
power_like,elementwise_arithmetic,fp32,30,180,6,134,134,46,180,0.01238038888888889,0.0,0.062072,1.9801987542046442e-07,9.5367431640625e-07,2.9092706699034206e-08,1.192092327073895e-07,12380.388888888889,62072,2228470,180000000,0.7444444444444445,0.7444444444444445,0.25555555555555554,1.0,0.012380388888888889
patch_reduction,patch_based,fp64,30,360,12,324,324,36,360,1.70000045000045e-06,0.0,2.5e-05,2.2204460492503132e-17,2.220446049250313e-16,3.2111032164887036e-17,3.6673706189257223e-16,0.1,1,36,27199980,0.9,0.9,0.1,1.0,1.3235303849488124e-06
associativity_tests,associativity_tests,fp32,30,180,6,180,180,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,180000000,1.0,1.0,0.0,1.0,0.0
control_repeated_add,control_repeated_add,fp32,30,270,9,270,270,0,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,270000000,1.0,1.0,0.0,1.0,0.0
division_reciprocal,elementwise_arithmetic,fp32,30,300,10,300,300,0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,300000000,1.0,1.0,0.0,1.0,0.0
elementwise_arithmetic,elementwise_arithmetic,fp32,30,960,32,960,960,0,960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,960000000,1.0,1.0,0.0,1.0,0.0
patch_cumulative,patch_based,fp64,30,360,12,360,360,0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,359999820,1.0,1.0,0.0,1.0,0.0
patch_preparation,patch_based,fp32,30,720,24,720,720,0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,719999640,1.0,1.0,0.0,1.0,0.0
rounding_sign,rounding_sign,fp32,30,540,18,540,540,0,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,540000000,1.0,1.0,0.0,1.0,0.0
