operation,family,group,precision_variant,patch_size,num_platform_pairs,observations,exact_equal_count,allclose_count,divergent_count,same_shape_count,mean_fraction_unequal,median_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,mean_num_unequal,max_num_unequal,total_num_unequal,total_num_elements,exact_equal_rate,allclose_rate,divergent_rate,same_shape_rate,global_unequal_element_rate
sum_b,global_reduction,global_reduction_cumulative,fp32,,30,30,6,6,24,30,0.8,1.0,1.0,0.00013020833333333333,0.00030517578125,3.140812131541504e-06,7.361309253018505e-06,0.8,1,24,30,0.2,0.2,0.8,1.0,0.8
sum_a,global_reduction,global_reduction_cumulative,fp32,,30,30,6,6,24,30,0.8,1.0,1.0,8.85009765625e-05,0.0002288818359375,1.2681089319915902e-06,3.279597492813309e-06,0.8,1,24,30,0.2,0.2,0.8,1.0,0.8
mean_b,global_reduction,global_reduction_cumulative,fp32,,30,30,6,6,24,30,0.8,1.0,1.0,1.3072470513482887e-10,3.055902197957039e-10,3.15326776556721e-06,7.371306207745523e-06,0.8,1,24,30,0.2,0.2,0.8,1.0,0.8
mean_a,global_reduction,global_reduction_cumulative,fp32,,30,30,6,6,24,30,0.8,1.0,1.0,8.925174673398336e-11,2.3283064365386963e-10,1.2788665287516855e-06,3.336179163663671e-06,0.8,1,24,30,0.2,0.2,0.8,1.0,0.8
atan2_ab,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,6,6,24,30,0.1990214,0.331698,0.331699,1.9073486328125e-07,2.384185791015625e-07,1.1387281389128419e-07,1.517238292515198e-07,199021.4,331699,5970642,30000000,0.2,0.2,0.8,1.0,0.1990214
atan2_cd,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,6,6,24,30,0.1989508666666667,0.331577,0.331581,1.9073486328125e-07,2.384185791015625e-07,1.1395934485354646e-07,1.5160903426106438e-07,198950.86666666667,331581,5968526,30000000,0.2,0.2,0.8,1.0,0.19895086666666667
cosh_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,6,6,24,30,0.1367148,0.227852,0.227857,4.657109578450521e-06,7.62939453125e-06,1.6369672516242613e-07,2.3550299495046254e-07,136714.8,227857,4101444,30000000,0.2,0.2,0.8,1.0,0.1367148
cosh_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,6,6,24,30,0.13659473333333333,0.227652,0.227655,2.360343933105469e-06,3.814697265625e-06,1.562957866753008e-07,2.2146976638704631e-07,136594.73333333334,227655,4097842,30000000,0.2,0.2,0.8,1.0,0.13659473333333333
sinh_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,6,6,24,30,0.08919533333333333,0.148646,0.148657,2.3365020751953127e-06,3.814697265625e-06,1.6593432056549289e-07,2.381015591247244e-07,89195.33333333333,148657,2675860,30000000,0.2,0.2,0.8,1.0,0.08919533333333333
sinh_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,6,6,24,30,0.08915113333333333,0.148569,0.148582,2.3365020751953127e-06,3.814697265625e-06,1.6614277681082707e-07,2.377835435002998e-07,89151.13333333333,148582,2674534,30000000,0.2,0.2,0.8,1.0,0.08915113333333333
sigmoid_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,6,6,24,30,0.07828673333333333,0.130476,0.130478,8.145968119303386e-08,1.1920928955078125e-07,1.745677226025104e-07,2.5434633373748965e-07,78286.73333333334,130478,2348602,30000000,0.2,0.2,0.8,1.0,0.07828673333333333
